Total Tests,Range Test Size,Number of Segments Test Size,Runtime
1944.0,324.0,6.0,1.2579982280731201
6804.0,324.0,21.0,3.8890011310577393
5508.0,324.0,17.0,2.490053176879883
6480.0,324.0,20.0,3.279999256134033
1296.0,324.0,4.0,0.4699990749359131
972.0,324.0,3.0,0.44300007820129395
2592.0,324.0,8.0,1.3830533027648926
8172.0,681.0,12.0,4.4070539474487305
10896.0,681.0,16.0,5.107051849365234
7491.0,681.0,11.0,3.178936004638672
4767.0,681.0,7.0,2.1710541248321533
4086.0,681.0,6.0,1.4610059261322021
14301.0,681.0,21.0,7.902052402496338
11577.0,681.0,17.0,6.750989675521851
13620.0,681.0,20.0,7.662052631378174
2724.0,681.0,4.0,1.2440671920776367
2043.0,681.0,3.0,1.2960577011108398
5448.0,681.0,8.0,2.4240105152130127
8148.0,679.0,12.0,4.726999044418335
10864.0,679.0,16.0,5.734003067016602
7469.0,679.0,11.0,4.294004917144775
4753.0,679.0,7.0,2.227048397064209
4074.0,679.0,6.0,1.3949997425079346
14259.0,679.0,21.0,7.244054317474365
11543.0,679.0,17.0,6.646050453186035
13580.0,679.0,20.0,8.341952800750732
2716.0,679.0,4.0,1.1169941425323486
2037.0,679.0,3.0,1.4929468631744385
5432.0,679.0,8.0,1.819051742553711
648.0,54.0,12.0,0.3030545711517334
864.0,54.0,16.0,0.415050745010376
594.0,54.0,11.0,0.29599761962890625
378.0,54.0,7.0,0.19299936294555664
324.0,54.0,6.0,0.16500616073608398
1134.0,54.0,21.0,0.60105299949646
918.0,54.0,17.0,0.440997838973999
1080.0,54.0,20.0,0.49805402755737305
216.0,54.0,4.0,0.050052642822265625
162.0,54.0,3.0,0.051058053970336914
432.0,54.0,8.0,0.16004276275634766
6984.0,582.0,12.0,3.3139395713806152
9312.0,582.0,16.0,4.2859978675842285
6402.0,582.0,11.0,3.7830591201782227
4074.0,582.0,7.0,1.9950001239776611
3492.0,582.0,6.0,2.1919362545013428
12222.0,582.0,21.0,6.0929999351501465
9894.0,582.0,17.0,4.903059244155884
11640.0,582.0,20.0,5.8020524978637695
2328.0,582.0,4.0,1.2150518894195557
1746.0,582.0,3.0,0.8289992809295654
