Total Tests,Range Test Size,Number of Segments Test Size,Runtime
5412.0,902.0,6.0,4.2840001583099365
15334.0,902.0,17.0,12.40305209159851
12628.0,902.0,14.0,8.220035076141357
14432.0,902.0,16.0,13.66100025177002
4510.0,902.0,5.0,3.391000270843506
6314.0,902.0,7.0,6.138052701950073
19844.0,902.0,22.0,18.3250515460968
9922.0,902.0,11.0,6.989051818847656
2706.0,902.0,3.0,2.851940393447876
16236.0,902.0,18.0,16.477999687194824
21648.0,902.0,24.0,19.857991933822632
3534.0,589.0,6.0,4.129052400588989
10013.0,589.0,17.0,8.455050945281982
8246.0,589.0,14.0,8.003946781158447
9424.0,589.0,16.0,7.95705246925354
2945.0,589.0,5.0,2.0520517826080322
4123.0,589.0,7.0,4.447052001953125
12958.0,589.0,22.0,11.22405219078064
6479.0,589.0,11.0,3.718998908996582
1767.0,589.0,3.0,2.3109993934631348
10602.0,589.0,18.0,8.786063432693481
14136.0,589.0,24.0,12.669050693511963
5106.0,851.0,6.0,4.859000205993652
14467.0,851.0,17.0,14.02599811553955
11914.0,851.0,14.0,13.377060890197754
13616.0,851.0,16.0,12.729052782058716
4255.0,851.0,5.0,3.6600522994995117
5957.0,851.0,7.0,5.167999029159546
18722.0,851.0,22.0,16.961052894592285
9361.0,851.0,11.0,10.881002187728882
2553.0,851.0,3.0,1.9319989681243896
15318.0,851.0,18.0,14.428005933761597
20424.0,851.0,24.0,18.21099328994751
4902.0,817.0,6.0,5.583999872207642
13889.0,817.0,17.0,12.830995321273804
11438.0,817.0,14.0,12.039999008178711
13072.0,817.0,16.0,12.00100588798523
4085.0,817.0,5.0,4.0309953689575195
5719.0,817.0,7.0,4.250051975250244
17974.0,817.0,22.0,16.644051790237427
8987.0,817.0,11.0,9.854004621505737
2451.0,817.0,3.0,1.3489995002746582
14706.0,817.0,18.0,14.342003583908081
19608.0,817.0,24.0,20.671995639801025
2508.0,418.0,6.0,2.101999044418335
7106.0,418.0,17.0,5.871938228607178
5852.0,418.0,14.0,3.9259917736053467
6688.0,418.0,16.0,5.4979541301727295
2090.0,418.0,5.0,2.307999849319458
2926.0,418.0,7.0,3.0619394779205322
9196.0,418.0,22.0,7.946947336196899
4598.0,418.0,11.0,3.9540534019470215
1254.0,418.0,3.0,1.3509478569030762
7524.0,418.0,18.0,7.544047117233276
10032.0,418.0,24.0,8.077946901321411
564.0,94.0,6.0,0.6498944759368896
1598.0,94.0,17.0,1.4539463520050049
1316.0,94.0,14.0,1.1079456806182861
1504.0,94.0,16.0,1.3019933700561523
470.0,94.0,5.0,0.4217185974121094
658.0,94.0,7.0,0.5689923763275146
2068.0,94.0,22.0,1.8349180221557617
1034.0,94.0,11.0,0.8789999485015869
282.0,94.0,3.0,0.2959287166595459
1692.0,94.0,18.0,1.4369924068450928
2256.0,94.0,24.0,2.0930492877960205
2028.0,338.0,6.0,1.6959478855133057
5746.0,338.0,17.0,5.557000637054443
4732.0,338.0,14.0,4.197999954223633
5408.0,338.0,16.0,5.000999450683594
1690.0,338.0,5.0,1.354945421218872
2366.0,338.0,7.0,1.832052230834961
7436.0,338.0,22.0,6.96899938583374
3718.0,338.0,11.0,2.4660351276397705
1014.0,338.0,3.0,0.837958812713623
6084.0,338.0,18.0,5.926998853683472
8112.0,338.0,24.0,7.775999069213867
3750.0,625.0,6.0,4.536998510360718
10625.0,625.0,17.0,9.032947063446045
8750.0,625.0,14.0,7.704002618789673
10000.0,625.0,16.0,10.833993196487427
